ÀàÄ¿±àÂë,id
A00.0,0
A00.1,1
A00.9,2
A01.0,3
A01.2,4
A01.4,5
A02,6
A02.0,7
A02.2,8
A02.8,9
A02.9,10
A03,11
A03.0,12
A03.1,13
A03.8,14
A03.9,15
A04,16
A04.0,17
A04.4,18
A04.8,19
A04.9,20
A05.2,21
A05.9,22
A06.0,23
A06.1,24
A06.3,25
A06.4,26
A06.5,27
A06.6,28
A06.8,29
A06.9,30
A07.9,31
A08,32
A08.0,33
A08.1,34
A08.3,35
A08.4,36
A08.5,37
A09,38
A09.0,39
A09.9,40
A15,41
A15.0,42
A15.1,43
A15.2,44
A15.3,45
A15.6,46
A16,47
A16.0,48
A16.1,49
A16.2,50
A16.3,51
A16.4,52
A16.5,53
A16.7,54
A16.8,55
A16.9,56
A17.0,57
A17.8,58
A18.0,59
A18.1,60
A18.2,61
A18.3,62
A18.4,63
A18.8,64
A19.0,65
A19.2,66
A19.9,67
A22.1,68
A23.1,69
A23.9,70
A24.0,71
A24.1,72
A27.9,73
A30.8,74
A31.0,75
A31.1,76
A31.9,77
A32.8,78
A37.9,79
A38,80
A39.0,81
A40.3,82
A41,83
A41.5,84
A41.8,85
A41.9,86
A46,87
A46.0,88
A48.1,89
A48.8,90
A49.1,91
A49.3,92
A49.8,93
A49.9,94
A50.0,95
A50.3,96
A52.0,97
A52.1,98
A52.3,99
A53.0,100
A53.9,101
A54.0,102
A54.1,103
A54.2,104
A54.9,105
A56.0,106
A56.1,107
A56.2,108
A56.3,109
A57,110
A58,111
A59.0,112
A60.0,113
A60.1,114
A63.0,115
A69.1,116
A74.0,117
A75.3,118
A79.9,119
A80.9,120
A81.9,121
A83.0,122
A86,123
A87,124
A87.9,125
A88.1,126
A92.1,127
A98.4,128
A98.5,129
A98.8,130
A99,131
B00.0,132
B00.1,133
B00.2,134
B00.8,135
B00.9,136
B01,137
B01.9,138
B02,139
B02.0,140
B02.2,141
B02.3,142
B02.7,143
B02.8,144
B02.9,145
B05.2,146
B05.8,147
B05.9,148
B06.8,149
B06.9,150
B07,151
B08,152
B08.2,153
B08.4,154
B08.5,155
B08.8,156
B09,157
B15.0,158
B15.9,159
B16,160
B16.1,161
B16.2,162
B16.9,163
B17,164
B17.0,165
B17.1,166
B17.2,167
B17.8,168
B17.9,169
B18,170
B18.0,171
B18.1,172
B18.2,173
B18.8,174
B18.9,175
B19,176
B19.9,177
B20.1,178
B20.7,179
B21.2,180
B22,181
B24,182
B24 0,183
B25.0,184
B25.9,185
B26,186
B26.0,187
B26.1,188
B26.2,189
B26.8,190
B26.9,191
B27.9,192
B30.2,193
B30.9,194
B33,195
B33.0,196
B33.2,197
B33.8,198
B34.8,199
B34.9,200
B35.2,201
B35.3,202
B35.4,203
B35.6,204
B35.9,205
B36.9,206
B37.0,207
B37.1,208
B37.3,209
B37.4,210
B37.6,211
B37.8,212
B39.9,213
B40.1,214
B40.2,215
B43.0,216
B43.2,217
B44.1,218
B45.0,219
B45.1,220
B45.9,221
B46.2,222
B48,223
B48.8,224
B49,225
B50.9,226
B54,227
B57,228
B59,229
B60.1,230
B60.2,231
B65.0,232
B65.2,233
B65.9,234
B66.1,235
B66.4,236
B66.9,237
B67.0,238
B67.8,239
B69.0,240
B69.8,241
B69.9,242
B70,243
B74.9,244
B76.9,245
B79,246
B86,247
B90,248
B90.9,249
B91,250
B94,251
B95.3,252
B96.0,253
B96.1,254
B96.3,255
B97.2,256
B97.4,257
B97.7,258
B97.8,259
B99,260
C00,261
C00.2,262
C00.9,263
C01,264
C02,265
C02.0,266
C02.1,267
C02.2,268
C02.9,269
C03.0,270
C03.1,271
C03.9,272
C04,273
C04.9,274
C05,275
C05.0,276
C05.1,277
C05.9,278
C06.0,279
C06.2,280
C06.9,281
C07,282
C08.0,283
C08.9,284
C09.1,285
C09.9,286
C10.9,287
C11,288
C11.1,289
C11.2,290
C11.9,291
C12,292
C13.9,293
C14,294
C14.0,295
C14.8,296
C15,297
C15.0,298
C15.1,299
C15.2,300
C15.3,301
C15.4,302
C15.5,303
C15.8,304
C15.9,305
C16,306
C16.0,307
C16.1,308
C16.2,309
C16.3,310
C16.4,311
C16.5,312
C16.6,313
C16.8,314
C16.9,315
C17.0,316
C17.1,317
C17.2,318
C17.9,319
C18,320
C18.0,321
C18.1,322
C18.2,323
C18.3,324
C18.4,325
C18.5,326
C18.6,327
C18.7,328
C18.8,329
C18.9,330
C19,331
C20,332
C20 0,333
C20.0,334
C20.9,335
C21,336
C21.0,337
C21.1,338
C21.8,339
C22,340
C22.0,341
C22.1,342
C22.2,343
C22.3,344
C22.7,345
C22.9,346
C23,347
C24.0,348
C24.1,349
C24.9,350
C25,351
C25.0,352
C25.1,353
C25.4,354
C25.9,355
C26.0,356
C26.1,357
C26.8,358
C26.9,359
C30,360
C30.0,361
C30.1,362
C31.0,363
C31.1,364
C31.9,365
C32.0,366
C32.1,367
C32.9,368
C33,369
C34.0,370
C34.1,371
C34.2,372
C34.3,373
C34.8,374
C34.9,375
C37,376
C37 0,377
C38,378
C38.1,379
C38.3,380
C38.4,381
C39.8,382
C40,383
C40.2,384
C40.3,385
C40.9,386
C41.0,387
C41.1,388
C41.2,389
C41.3,390
C41.4,391
C41.9,392
C43.1,393
C43.3,394
C43.7,395
C43.9,396
C44,397
C44.0,398
C44.1,399
C44.2,400
C44.3,401
C44.4,402
C44.5,403
C44.6,404
C44.7,405
C44.9,406
C45.0,407
C45.1,408
C45.7,409
C47.4,410
C48,411
C48.0,412
C48.1,413
C48.2,414
C49,415
C49.0,416
C49.1,417
C49.2,418
C49.3,419
C49.4,420
C49.5,421
C49.8,422
C49.9,423
C50,424
C50.0,425
C50.1,426
C50.2,427
C50.3,428
C50.4,429
C50.5,430
C50.6,431
C50.8,432
C50.9,433
C51.2,434
C51.9,435
C52,436
C53.0,437
C53.9,438
C54,439
C54.1,440
C54.3,441
C54.9,442
C55,443
C56,444
C56.0,445
C57,446
C57.0,447
C57.4,448
C58,449
C60.1,450
C60.9,451
C61,452
C62.9,453
C63.2,454
C63.7,455
C63.9,456
C64,457
C65,458
C66,459
C67,460
C67.2,461
C67.4,462
C67.6,463
C67.7,464
C67.9,465
C68.0,466
C68.8,467
C68.9,468
C69.3,469
C69.5,470
C69.9,471
C70.0,472
C70.9,473
C71,474
C71.0,475
C71.1,476
C71.2,477
C71.3,478
C71.5,479
C71.6,480
C71.7,481
C71.8,482
C71.9,483
C72.0,484
C72.9,485
C73,486
C74.9,487
C75.0,488
C75.1,489
C75.2,490
C75.3,491
C76.0,492
C76.1,493
C76.2,494
C76.3,495
C76.4,496
C76.5,497
C76.7,498
C77,499
C77.0,500
C77.1,501
C77.2,502
C77.3,503
C77.4,504
C77.9,505
C78,506
C78.0,507
C78.1,508
C78.2,509
C78.3,510
C78.5,511
C78.6,512
C78.7,513
C78.8,514
C79.0,515
C79.1,516
C79.2,517
C79.3,518
C79.4,519
C79.5,520
C79.6,521
C79.8,522
C80,523
C81.0,524
C81.1,525
C81.2,526
C81.9,527
C82.0,528
C82.7,529
C82.9,530
C83.0,531
C83.3,532
C83.4,533
C83.6,534
C83.8,535
C83.9,536
C84.2,537
C84.3,538
C84.4,539
C84.5,540
C85,541
C85.0,542
C85.1,543
C85.7,544
C85.9,545
C88.0,546
C88.9,547
C90,548
C90.0,549
C90.1,550
C90.2,551
C91,552
C91.0,553
C91.1,554
C91.9,555
C92,556
C92.0,557
C92.1,558
C92.4,559
C92.5,560
C92.7,561
C92.9,562
C93.0,563
C94.0,564
C94.2,565
C94.4,566
C94.5,567
C94.7,568
C95,569
C95.0,570
C95.1,571
C95.9,572
C96,573
C96.1,574
C96.7,575
C96.9,576
C97,577
D00.0,578
D00.1,579
D00.2,580
D01.0,581
D01.2,582
D01.4,583
D01.5,584
D02.0,585
D02.2,586
D02.4,587
D04.1,588
D04.9,589
D05.1,590
D05.7,591
D05.9,592
D06,593
D06.1,594
D06.7,595
D06.9,596
D07.0,597
D07.2,598
D07.3,599
D07.4,600
D07.5,601
D09.0,602
D09.9,603
D10.0,604
D10.1,605
D10.2,606
D10.3,607
D10.4,608
D10.6,609
D10.9,610
D11,611
D11.0,612
D11.7,613
D11.9,614
D12,615
D12.0,616
D12.1,617
D12.2,618
D12.3,619
D12.5,620
D12.6,621
D12.8,622
D12.9,623
D13,624
D13.0,625
D13.1,626
D13.2,627
D13.3,628
D13.4,629
D13.5,630
D13.6,631
D13.7,632
D13.9,633
D14,634
D14.0,635
D14.1,636
D14.3,637
D15.0,638
D15.1,639
D15.2,640
D15.7,641
D15.9,642
D16,643
D16.0,644
D16.1,645
D16.2,646
D16.3,647
D16.4,648
D16.5,649
D16.6,650
D16.7,651
D16.8,652
D16.9,653
D17,654
D17.0,655
D17.1,656
D17.2,657
D17.3,658
D17.4,659
D17.5,660
D17.7,661
D17.9,662
D18.0,663
D18.1,664
D19.9,665
D20.0,666
D20.1,667
D21.0,668
D21.1,669
D21.2,670
D21.3,671
D21.4,672
D21.6,673
D21.9,674
D22.0,675
D22.9,676
D23,677
D23.1,678
D23.2,679
D23.3,680
D23.4,681
D23.5,682
D23.6,683
D23.7,684
D23.9,685
D24,686
D25,687
D25.0,688
D25.1,689
D25.2,690
D25.9,691
D26,692
D26.0,693
D26.1,694
D26.9,695
D27,696
D28,697
D28.0,698
D28.1,699
D28.2,700
D28.7,701
D29,702
D29.0,703
D29.1,704
